estado;ideb;pib;idh;suicidios
Acre;5.4;21.374;0.710;625
Alagoas;5.3;76.266;0.684;2383
Amapa;4.7;20.100;0.688;631
Amazonas;5.3;131.531;0.700;3030
Bahia;4.9;352.618;0.691;12893
Ceara;6.1;194.885;0.734;6826
Distrito Federal;5.9;286.944;0.814;1476
Espirito Santo;5.8;186.337;0.771;3302
Goias;5.7;269.628;0.737;5829
Maranhao;4.7;124.981;0.676;4514
Mato Grosso;5.5;233.390;0.736;2784
Mato Grosso do Sul;5.2;142.204;0.742;1910
Minas Gerais;5.9;857.593;0.774;13113
Para;4.8;549.973;0.690;6487
Paraiba;5.0;77.470;0.698;2666
Parana;6.1;262.905;0.769;8388
Pernambuco;5.1;220.814;0.719;8189
Piaui;5.3;64.028;0.690;2261
Rio de Janeiro;5.3;949.301;0.762;13969
Rio Grande do Norte;4.5;80.181;0.728;2595
Rio Grande do Sul;5.8;581.284;0.771;7612
Rondonia;5.3;58.170;0.700;1314
Roraima;5.3;18.203;0.699;591
Santa Catarina;6.2;428.571;0.792;4329
Sao Paulo;6.1;51.861;0.806;21749
Sergipe;4.8;2719751;0.702;1957
Tocantins;5.1;51.781;0.731;1377
